"","Team","Scenario","Reduction","Rank","Output"
"172","COL","2009-6",2,0,"Peak Delay"
"173","NEU3","2009-6",0,0,"Peak Delay"
"174","UTA","2009-6",-1,0,"Peak Delay"
"175","UVA","2009-6",12,0,"Peak Delay"
"176","IMP","2009-6",-2,0,"Peak Delay"
"177","COL2","2009-6",9,0,"Peak Delay"
"178","COL","2009-7",0,0,"Peak Delay"
"179","NEU3","2009-7",3,0,"Peak Delay"
"180","UTA","2009-7",-2,0,"Peak Delay"
"181","UVA","2009-7",0,0,"Peak Delay"
"182","IMP","2009-7",-3,0,"Peak Delay"
"183","COL2","2009-7",-1,0,"Peak Delay"
"184","COL","2009-8",2,0,"Peak Delay"
"185","NEU3","2009-8",10,0,"Peak Delay"
"186","UTA","2009-8",-1,0,"Peak Delay"
"187","UVA","2009-8",4,0,"Peak Delay"
"188","IMP","2009-8",-2,0,"Peak Delay"
"189","COL2","2009-8",9,0,"Peak Delay"
