"","team","week","HP01_mean","HP01_perc2p5","HP01_perc97p5","Date","HP02_mean","HP02_perc2p5","HP02_perc97p5","HP03_mean","HP03_perc2p5","HP03_perc97p5","HP04_mean","HP04_perc2p5","HP04_perc97p5","HP05_mean","HP05_perc2p5","HP05_perc97p5","HP06_mean","HP06_perc2p5","HP06_perc97p5","HP07_mean","HP07_perc2p5","HP07_perc97p5","HP08_mean","HP08_perc2p5","HP08_perc97p5","HP09_mean","HP09_perc2p5","HP09_perc97p5","HP10_mean","HP10_perc2p5","HP10_perc97p5","HP11_mean","HP11_perc2p5","HP11_perc97p5","HP12_mean","HP12_perc2p5","HP12_perc97p5"
"34","COL",34,0.042924,0.00241,0.136352,2021-04-20,0.002434,0.000144,0.005826,0.042924,0.00241,0.136352,0.002606,0.000185,0.006228,0.003561,0.000315,0.007675,0.057846,0.005995,0.151228,0.077705,0.010779,0.189063,0.054785,0.00505,0.146977,0.002519,0.000203,0.005505,0.003369,0.000346,0.00662,0.067067,0.01081,0.156055,0.090241,0.017833,0.194312
"35","COL",35,0.027719,0.001195,0.095974,2021-04-27,0.001196,5.4e-05,0.003006,0.027719,0.001195,0.095974,0.001285,7.3e-05,0.003229,0.00179,0.00013,0.004097,0.039924,0.00344,0.111592,0.054529,0.006349,0.141685,0.036344,0.002645,0.107224,0.001236,7.9e-05,0.002862,0.001686,0.000137,0.003607,0.047277,0.00652,0.116186,0.064616,0.01119,0.147369
"36","COL",36,0.017455,0.000573,0.065601,2021-05-04,0.000556,1.9e-05,0.001522,0.017455,0.000573,0.065601,6e-04,2.6e-05,0.001589,0.000851,4.9e-05,0.002065,0.026933,0.00193,0.080359,0.037371,0.003657,0.103432,0.023513,0.001341,0.075989,0.000572,2.8e-05,0.00143,0.000795,5e-05,0.001828,0.032604,0.00384,0.084286,0.045234,0.006841,0.10838
"37","COL",37,0.01099,0.00027,0.044582,2021-05-11,0.000254,5e-06,0.000768,0.01099,0.00027,0.044582,0.000275,8e-06,0.000806,0.000398,1.8e-05,0.001033,0.01811,0.001073,0.05786,0.025526,0.002082,0.075559,0.015198,0.000672,0.05371,0.000259,8e-06,0.000697,0.000368,1.6e-05,0.00091,0.022442,0.002236,0.061309,0.031631,0.004122,0.079853
"38","COL",38,0.006929,0.000126,0.030176,2021-05-18,0.000112,1e-06,0.000375,0.006929,0.000126,0.030176,0.000122,2e-06,0.000391,0.000181,6e-06,0.000508,0.012188,0.000597,0.041678,0.017448,0.001179,0.05526,0.009838,0.000333,0.03786,0.000113,2e-06,0.000328,0.000164,4e-06,0.000439,0.015478,0.001297,0.044736,0.022173,0.002477,0.059015
"39","COL",39,0.00425,5.8e-05,0.019845,2021-05-25,4.5e-05,0,0.000167,0.00425,5.8e-05,0.019845,5e-05,1e-06,0.000181,7.6e-05,1e-06,0.000231,0.007989,0.00032,0.029259,0.01161,0.000653,0.039373,0.006197,0.000158,0.025949,4.5e-05,1e-06,0.000144,6.7e-05,1e-06,0.000195,0.010402,0.000733,0.031865,0.015141,0.00144,0.042502
"40","COL",40,0.002592,2.5e-05,0.012929,2021-06-01,1.7e-05,0,6.9e-05,0.002592,2.5e-05,0.012929,1.9e-05,0,7.5e-05,3e-05,1e-06,0.000101,0.005198,0.000172,0.020417,0.007668,0.000354,0.027922,0.00388,7.7e-05,0.017645,1.7e-05,0,6e-05,2.6e-05,0,8.1e-05,0.006941,0.000406,0.022639,0.010271,0.00082,0.030566
"41","COL",41,0.001573,9e-06,0.008347,2021-06-08,6e-06,0,2.7e-05,0.001573,9e-06,0.008347,6e-06,0,3e-05,1.1e-05,0,4e-05,0.003367,9e-05,0.014155,0.005041,0.000192,0.019646,0.002418,3.4e-05,0.011786,5e-06,0,2.2e-05,9e-06,0,3.2e-05,0.004612,0.000227,0.015986,0.006935,0.000467,0.021841
"42","COL",42,0.000955,3e-06,0.005372,2021-06-15,2e-06,0,1e-05,0.000955,3e-06,0.005372,2e-06,0,1.1e-05,3e-06,0,1.5e-05,0.002178,4.7e-05,0.009796,0.003309,0.000101,0.013835,0.001507,1.4e-05,0.00785,1e-06,0,8e-06,2e-06,0,1.1e-05,0.00306,0.000121,0.01131,0.00468,0.000261,0.015668
"43","COL",43,0.00058,1e-06,0.003448,2021-06-22,0,0,2e-06,0.00058,1e-06,0.003448,0,0,3e-06,1e-06,0,5e-06,0.001408,2.5e-05,0.006772,0.002171,5.4e-05,0.009727,0.000939,6e-06,0.005213,0,0,2e-06,0,0,3e-06,0.002031,6.7e-05,0.008015,0.003158,0.000145,0.011259
