"","team","week","RL01_mean","RL01_perc2p5","RL01_perc97p5","Date","RL02_mean","RL02_perc2p5","RL02_perc97p5","RL03_mean","RL03_perc2p5","RL03_perc97p5","RL04_mean","RL04_perc2p5","RL04_perc97p5","RL05_mean","RL05_perc2p5","RL05_perc97p5","RL06_mean","RL06_perc2p5","RL06_perc97p5","RL07_mean","RL07_perc2p5","RL07_perc97p5","RL08_mean","RL08_perc2p5","RL08_perc97p5"
"39","COL",39,0.009445,0.002044,0.01836,2021-03-24,0.0011,9.9e-05,0.004074,0.015685,0.003933,0.028204,0.001309,0.000183,0.004642,0.011314,0.00268,0.021326,0.020664,0.005115,0.040031,0.001451,0.000218,0.005053,0.003887,0.001076,0.01037
"40","COL",40,0.006463,0.00129,0.012908,2021-03-31,0.000703,5.1e-05,0.002728,0.01098,0.002528,0.020336,0.000845,1e-04,0.003152,0.007781,0.001709,0.01543,0.014212,0.003278,0.028714,0.000942,0.000122,0.003441,0.002605,0.000664,0.007258
"41","COL",41,0.004313,0.000796,0.00882,2021-04-07,0.000435,2.5e-05,0.001765,0.007489,0.001578,0.014116,0.000527,5.2e-05,0.002061,0.005221,0.001059,0.010426,0.009548,0.002076,0.02011,0.000591,6.2e-05,0.002262,0.001696,0.000394,0.004912
"42","COL",42,0.002865,0.000487,0.00603,2021-04-14,0.000265,1.2e-05,0.00113,0.005082,0.000979,0.010022,0.000325,2.4e-05,0.001338,0.003488,0.000652,0.00719,0.006386,0.001286,0.014029,0.000367,3.1e-05,0.001474,0.001095,0.000232,0.0033
"43","COL",43,0.001886,0.000291,0.004083,2021-04-21,0.000158,5e-06,0.00071,0.003416,0.000603,0.006957,0.000196,1.3e-05,0.00085,0.002309,0.000397,0.004932,0.004231,0.000789,0.00968,0.000223,1.5e-05,0.000942,0.000695,0.000128,0.002174
"44","COL",44,0.001222,0.000172,0.002725,2021-04-28,9.2e-05,2e-06,0.000438,0.002261,0.000361,0.004752,0.000115,5e-06,0.00053,0.001505,0.000236,0.003328,0.002763,0.000471,0.006585,0.000131,7e-06,0.00059,0.000431,7e-05,0.001404
"45","COL",45,0.000792,9.8e-05,0.001831,2021-05-05,5.2e-05,0,0.000258,0.001496,0.000218,0.003256,6.6e-05,2e-06,0.000328,0.000982,0.00014,0.002254,0.001805,0.00028,0.004477,7.6e-05,3e-06,0.000366,0.000265,3.7e-05,0.000901
"46","COL",46,0.000508,5.6e-05,0.001219,2021-05-12,2.9e-05,0,0.000155,0.000983,0.000128,0.002267,3.6e-05,1e-06,0.000195,0.000635,8.3e-05,0.001519,0.001171,0.000166,0.003022,4.2e-05,1e-06,0.000222,0.00016,1.6e-05,0.000574
"47","COL",47,0.00032,3e-05,0.000801,2021-05-19,1.5e-05,0,8.5e-05,0.000634,7.3e-05,0.001566,1.9e-05,0,0.000116,0.000403,4.2e-05,0.001029,0.000748,9.4e-05,0.002025,2.3e-05,0,0.000129,9.3e-05,7e-06,0.000352
"48","COL",48,2e-04,1.7e-05,0.000531,2021-05-26,8e-06,0,4.7e-05,0.000406,3.9e-05,0.001073,1e-05,0,6.5e-05,0.000254,2.4e-05,0.000697,0.000474,5e-05,0.001345,1.2e-05,0,7.6e-05,5.2e-05,3e-06,0.000216
"49","COL",49,0.000122,7e-06,0.000348,2021-06-02,3e-06,0,2.4e-05,0.000256,2.3e-05,0.000729,5e-06,0,3.3e-05,0.000157,1.1e-05,0.000469,0.000296,2.9e-05,0.000877,5e-06,0,3.9e-05,2.8e-05,1e-06,0.000127
"50","COL",50,7.4e-05,3e-06,0.000228,2021-06-09,1e-06,0,1.2e-05,0.00016,1e-05,0.000495,2e-06,0,1.8e-05,9.6e-05,6e-06,0.000311,0.000184,1.4e-05,0.000579,2e-06,0,2e-05,1.4e-05,0,7.1e-05
"51","COL",51,4.4e-05,0,0.000154,2021-06-16,1e-06,0,5e-06,9.9e-05,6e-06,0.000324,1e-06,0,8e-06,5.8e-05,2e-06,0.000209,0.000113,6e-06,0.000376,1e-06,0,1.1e-05,7e-06,0,4e-05
"52","COL",52,2.6e-05,0,9.5e-05,2021-06-23,0,0,2e-06,6.1e-05,1e-06,0.000211,0,0,3e-06,3.4e-05,0,0.000138,6.9e-05,1e-06,0.000247,0,0,3e-06,3e-06,0,2.2e-05
"53","COL2",1,0.0304382669647882,0.02158148771038,0.038850774740552,2020-07-01,0.0304382669647882,0.02158148771038,0.038850774740552,0.0304244623088655,0.0215763622449373,0.0388273795664793,0.0304244623088655,0.0215763622449373,0.0388273795664793,0.0304382669647882,0.02158148771038,0.0388273795664793,0.0304382669647882,0.02158148771038,0.0388273795664793,0.0304244623088655,0.0215763622449373,0.0388273795664793,0.0304244623088655,0.0215763622449373,0.0388273795664793
"54","COL2",2,0.0439239411250038,0.0316950987178392,0.0565502193468696,2020-07-08,0.0439239411250038,0.0316950987178392,0.0565502193468696,0.043098891637983,0.0312110041048005,0.0554062541145508,0.043098891637983,0.0312110041048005,0.0554062541145508,0.0439239411250038,0.0316950987178392,0.0554062541145508,0.0439239411250038,0.0316950987178392,0.0554062541145508,0.043098891637983,0.0312110041048005,0.0554062541145508,0.043098891637983,0.0312110041048005,0.0554062541145508
"55","COL2",3,0.0542375698234073,0.0393198551144598,0.0732735243113871,2020-07-15,0.0542375698234073,0.0393198551144598,0.0732735243113871,0.0519348912917197,0.0378520095244353,0.0699153766748288,0.0519348912917197,0.0378520095244353,0.0699153766748288,0.0542375698234073,0.0393198551144598,0.0699153766748288,0.0542375698234073,0.0393198551144598,0.0699153766748288,0.0519348912917197,0.0378520095244353,0.0699153766748288,0.0519348912917197,0.0378520095244353,0.0699153766748288
"56","COL2",4,0.0657497306341181,0.0455390782751858,0.09514124153303,2020-07-22,0.0657497306341181,0.0455390782751858,0.09514124153303,0.0614855683667839,0.0426356876103016,0.0885263067443401,0.0614855683667839,0.0426356876103016,0.0885263067443401,0.0657497306341181,0.0455390782751858,0.0885263067443401,0.0657497306341181,0.0455390782751858,0.0885263067443401,0.0614855683667839,0.0426356876103016,0.0885263067443401,0.0614855683667839,0.0426356876103016,0.0885263067443401
"57","COL2",5,0.0791734000786228,0.0515724005402473,0.119551970765603,2020-07-29,0.0791734000786228,0.0515724005402473,0.119551970765603,0.0723657197642229,0.0471131788777856,0.109634564011386,0.0723657197642229,0.0471131788777856,0.109634564011386,0.0791734000786228,0.0515724005402473,0.109634564011386,0.0791734000786228,0.0515724005402473,0.109634564011386,0.0723657197642229,0.0471131788777856,0.109634564011386,0.0723657197642229,0.0471131788777856,0.109634564011386
"58","COL2",6,0.0949108768201675,0.0582836715400175,0.151098988262787,2020-08-05,0.0949108768201675,0.0582836715400175,0.151098988262787,0.0848508052218648,0.0525851815037507,0.136086772135818,0.0848508052218648,0.0525851815037507,0.136086772135818,0.0949108768201675,0.0582836715400175,0.136086772135818,0.0949108768201675,0.0582836715400175,0.136086772135818,0.0848508052218648,0.0525851815037507,0.136086772135818,0.0848508052218648,0.0525851815037507,0.136086772135818
"59","COL2",7,0.113225135964002,0.0663301376797523,0.190331731987668,2020-08-12,0.113225135964002,0.0663301376797523,0.190331731987668,0.0990907659550425,0.058299170274435,0.168031335455997,0.0990907659550425,0.058299170274435,0.168031335455997,0.113225135964002,0.0663301376797523,0.168031335455997,0.113225135964002,0.0663301376797523,0.168031335455997,0.0990907659550425,0.058299170274435,0.168031335455997,0.0990907659550425,0.058299170274435,0.168031335455997
"60","COL2",8,0.137079828181165,0.0757477235326037,0.241249609166054,2020-08-19,0.137079828181165,0.0757477235326037,0.241249609166054,0.117531127205191,0.0646540667588136,0.208206157339371,0.117531127205191,0.0646540667588136,0.208206157339371,0.137079828181165,0.0757477235326037,0.208206157339371,0.134163135676945,0.0738580261675842,0.208206157339371,0.117531127205191,0.0646540667588136,0.208206157339371,0.115052722693677,0.0630588763531473,0.208206157339371
