"","Team","Scenario","Reduction","Rank","Output"
"139","COL2","HP22",12.0578734014064,3,"Averted Percent"
"140","ENS","HP22",33.3183531688295,1,"Averted Percent"
"141","COL","HP23",5.63346574805007,4,"Averted Percent"
"142","NEU3","HP23",18.9346600494197,4,"Averted Percent"
"143","UTA","HP23",42.4862449595953,4,"Averted Percent"
"144","UVA","HP23",26.0844324554261,4,"Averted Percent"
"145","IMP","HP23",21.2889353688056,4,"Averted Percent"
"146","COL2","HP23",12.0782065621055,2,"Averted Percent"
"147","ENS","HP23",22.8823369211061,4,"Averted Percent"
"148","COL","HP24",6.28446039980756,3,"Averted Percent"
"149","NEU3","HP24",18.9905329180437,3,"Averted Percent"
"150","UTA","HP24",44.6298338366583,3,"Averted Percent"
"151","UVA","HP24",27.4156567895429,3,"Averted Percent"
"152","IMP","HP24",21.6651538084512,3,"Averted Percent"
"153","COL2","HP24",11.9171720061099,4,"Averted Percent"
"154","ENS","HP24",23.6985545663429,3,"Averted Percent"
"155","COL","HP14",0,10.5,"Magnitude Reduction"
"156","NEU3","HP14",0.0813314854421669,10,"Magnitude Reduction"
"157","UTA","HP14",1.04717836097338,10,"Magnitude Reduction"
"158","UVA","HP14",0,10.5,"Magnitude Reduction"
"159","IMP","HP14",0,10.5,"Magnitude Reduction"
"160","COL2","HP14",0,10.5,"Magnitude Reduction"
"161","ENS","HP14",0.188084974402592,10,"Magnitude Reduction"
"162","COL","HP15",0,10.5,"Magnitude Reduction"
"163","NEU3","HP15",0.0591046257014577,11,"Magnitude Reduction"
"164","UTA","HP15",-0.996825360996255,11,"Magnitude Reduction"
"165","UVA","HP15",0,10.5,"Magnitude Reduction"
"166","IMP","HP15",0,10.5,"Magnitude Reduction"
"167","COL2","HP15",0,10.5,"Magnitude Reduction"
"168","ENS","HP15",-0.1562867892158,11,"Magnitude Reduction"
"169","COL","HP16",1.33053083307944,8.5,"Magnitude Reduction"
"170","NEU3","HP16",21.1324077301463,8,"Magnitude Reduction"
"171","UTA","HP16",31.1705898281214,6,"Magnitude Reduction"
"172","UVA","HP16",50.1244928799877,7,"Magnitude Reduction"
"173","IMP","HP16",51.4514396497058,5.5,"Magnitude Reduction"
"174","COL2","HP16",27.7216763640594,5.5,"Magnitude Reduction"
"175","ENS","HP16",30.48852288085,7,"Magnitude Reduction"
"176","COL","HP17",6.04215551869846,5.5,"Magnitude Reduction"
"177","NEU3","HP17",28.914518277639,5,"Magnitude Reduction"
"178","UTA","HP17",25.5053647452227,9,"Magnitude Reduction"
"179","UVA","HP17",49.8793868830227,8,"Magnitude Reduction"
"180","IMP","HP17",50.7194599899701,7.5,"Magnitude Reduction"
"181","COL2","HP17",25.4307536954179,7.5,"Magnitude Reduction"
