"","scenario","team","agegroup","reduction"
"235","HP08_","UVA","Overall",0
"236","HP08_","UVA","0-4 years",0
"237","HP08_","UVA","5-17 years",0
"238","HP08_","UVA","18-49 years",0
"239","HP08_","UVA","50-64 years",0
"240","HP08_","UVA","65+ years",0
"241","HP08_","IMP","Overall",2.72476057176011
"242","HP08_","IMP","0-4 years",2.73664094290779
"243","HP08_","IMP","5-17 years",1.51792254636049
"244","HP08_","IMP","18-49 years",2.95825909051601
"245","HP08_","IMP","50-64 years",3.43775677292272
"246","HP08_","IMP","65+ years",3.52546691530314
"247","HP08_","COL2","Overall",2.27849608256599
"248","HP08_","COL2","0-4 years",2.46456466893886
"249","HP08_","COL2","5-17 years",1.54452459103352
"250","HP08_","COL2","18-49 years",2.34975332163725
"251","HP08_","COL2","50-64 years",3.25739591840001
"252","HP08_","COL2","65+ years",3.57058975511781
"253","HP09_","COL","Overall",39.2701279727805
"254","HP09_","COL","0-4 years",37.2693627079073
"255","HP09_","COL","5-17 years",39.5386309018261
"256","HP09_","COL","18-49 years",39.0753486584687
"257","HP09_","COL","50-64 years",41.3892717724421
"258","HP09_","COL","65+ years",32.4938201612444
"259","HP09_","NEU","Overall",71.0657274815202
"260","HP09_","NEU","0-4 years",73.1196819684414
"261","HP09_","NEU","5-17 years",75.6125522175759
"262","HP09_","NEU","18-49 years",70.1906183745797
"263","HP09_","NEU","50-64 years",68.1804188288084
"264","HP09_","NEU","65+ years",69.188637246099
"265","HP09_","UTA","Overall",71.3657837025269
"266","HP09_","UTA","0-4 years",63.2981133539557
"267","HP09_","UTA","5-17 years",63.3253985939633
"268","HP09_","UTA","18-49 years",73.6477444322652
"269","HP09_","UTA","50-64 years",72.5333748363772
"270","HP09_","UTA","65+ years",83.2356604195617
"271","HP09_","UVA","Overall",54.6389136600316
"272","HP09_","UVA","0-4 years",62.3430621008158
"273","HP09_","UVA","5-17 years",58.3551051489954
"274","HP09_","UVA","18-49 years",50.5901606918472
"275","HP09_","UVA","50-64 years",53.5930623687534
"276","HP09_","UVA","65+ years",56.5112128927723
"277","HP09_","IMP","Overall",71.951628351668
"278","HP09_","IMP","0-4 years",79.8197849257546
"279","HP09_","IMP","5-17 years",83.653032851012
"280","HP09_","IMP","18-49 years",66.7575162807058
"281","HP09_","IMP","50-64 years",68.3178274169956
"282","HP09_","IMP","65+ years",68.8778006337537
"283","HP09_","COL2","Overall",30.1625733924822
"284","HP09_","COL2","0-4 years",50.7508087676954
"285","HP09_","COL2","5-17 years",35.188926720509
"286","HP09_","COL2","18-49 years",23.3043725450662
"287","HP09_","COL2","50-64 years",32.6574611446669
"288","HP09_","COL2","65+ years",37.1536917009337
"289","HP10_","COL","Overall",47.2958191723754
"290","HP10_","COL","0-4 years",47.9704480614206
"291","HP10_","COL","5-17 years",52.9198050127808
"292","HP10_","COL","18-49 years",46.1734954060808
"293","HP10_","COL","50-64 years",48.6852685726074
"294","HP10_","COL","65+ years",41.7938937937554
"295","HP10_","NEU","Overall",94.7901633824462
"296","HP10_","NEU","0-4 years",95.2809544081883
"297","HP10_","NEU","5-17 years",95.7699044450917
"298","HP10_","NEU","18-49 years",94.6367149068232
"299","HP10_","NEU","50-64 years",94.0900771435245
"300","HP10_","NEU","65+ years",94.3313263448073
"301","HP10_","UTA","Overall",92.6304188552201
"302","HP10_","UTA","0-4 years",87.6817317658725
"303","HP10_","UTA","5-17 years",87.0175002666292
"304","HP10_","UTA","18-49 years",94.3104591955113
"305","HP10_","UTA","50-64 years",93.9675916087217
"306","HP10_","UTA","65+ years",97.2518947018214
"307","HP10_","UVA","Overall",71.662113366305
"308","HP10_","UVA","0-4 years",76.7918146389992
"309","HP10_","UVA","5-17 years",67.4960024595951
"310","HP10_","UVA","18-49 years",72.6843987118642
"311","HP10_","UVA","50-64 years",74.7228294147063
"312","HP10_","UVA","65+ years",77.7256205690359
"313","HP10_","IMP","Overall",93.7564694041006
"314","HP10_","IMP","0-4 years",96.1894916071998
"315","HP10_","IMP","5-17 years",96.9890466236821
"316","HP10_","IMP","18-49 years",92.1024347362396
"317","HP10_","IMP","50-64 years",93.1055114489917
"318","HP10_","IMP","65+ years",93.3252754537108
"319","HP10_","COL2","Overall",48.783177348799
"320","HP10_","COL2","0-4 years",68.2967955027288
"321","HP10_","COL2","5-17 years",54.0683624391966
"322","HP10_","COL2","18-49 years",41.4963858430272
"323","HP10_","COL2","50-64 years",52.9576582205202
"324","HP10_","COL2","65+ years",57.1549492049554
"325","HP11_","COL","Overall",11.2562673021149
"326","HP11_","COL","0-4 years",12.6429903106396
"327","HP11_","COL","5-17 years",17.6769011017305
"328","HP11_","COL","18-49 years",10.0132095140841
"329","HP11_","COL","50-64 years",11.0807368238649
"330","HP11_","COL","65+ years",13.4166272501086
"331","HP11_","NEU","Overall",38.2008103861114
"332","HP11_","NEU","0-4 years",41.7298042559433
"333","HP11_","NEU","5-17 years",48.7164147471538
"334","HP11_","NEU","18-49 years",35.0795921549508
"335","HP11_","NEU","50-64 years",33.3348696240037
"336","HP11_","NEU","65+ years",36.9515014694263
"337","HP11_","UTA","Overall",31.926183897456
"338","HP11_","UTA","0-4 years",31.5651225926706
"339","HP11_","UTA","5-17 years",31.2131173074969
"340","HP11_","UTA","18-49 years",31.9991242383291
"341","HP11_","UTA","50-64 years",31.6908743722228
"342","HP11_","UTA","65+ years",35.0404102602443
"343","HP11_","UVA","Overall",43.1221949182594
"344","HP11_","UVA","0-4 years",49.7851299401353
"345","HP11_","UVA","5-17 years",51.7866287950458
"346","HP11_","UVA","18-49 years",36.0932850891692
"347","HP11_","UVA","50-64 years",39.5202209094113
"348","HP11_","UVA","65+ years",43.4689971849072
